Component	Version	Patch Level	Support Package	Description
S4HCMCIT	101	0011	SAPK-10111INS4HCMCIT	Sub component S4HCMCIT of S4HCM
S4HCMCJP	101	0011	SAPK-10111INS4HCMCJP	Sub component S4HCMCJP of S4HCM
S4HCMCKR	101	0011	SAPK-10111INS4HCMCKR	Sub component S4HCMCKR of S4HCM
S4HCMCKW	101	0011	SAPK-10111INS4HCMCKW	Sub component S4HCMCKW of S4HCM
S4HCMCKZ	101	0011	SAPK-10111INS4HCMCKZ	Sub component S4HCMCKZ of S4HCM
S4HCMCMX	101	0011	SAPK-10111INS4HCMCMX	Sub component S4HCMCMX of S4HCM
S4HCMCMY	101	0011	SAPK-10111INS4HCMCMY	Sub component S4HCMCMY of S4HCM
S4HCMCNL	101	0011	SAPK-10111INS4HCMCNL	Sub component S4HCMCNL of S4HCM
S4HCMCNO	101	0011	SAPK-10111INS4HCMCNO	Sub component S4HCMCNO of S4HCM
S4HCMCNZ	101	0011	SAPK-10111INS4HCMCNZ	Sub component S4HCMCNZ of S4HCM
S4HCMCOM	101	0011	SAPK-10111INS4HCMCOM	Sub component S4HCMCOM of S4HCM
S4HCMCPH	101	0011	SAPK-10111INS4HCMCPH	Sub component S4HCMCPH of S4HCM
S4HCMCPL	101	0011	SAPK-10111INS4HCMCPL	Sub component S4HCMCPL of S4HCM
S4HCMCPT	101	0011	SAPK-10111INS4HCMCPT	Sub component S4HCMCPT of S4HCM
S4HCMCQA	101	0011	SAPK-10111INS4HCMCQA	Sub component S4HCMCQA of S4HCM
S4HCMCRO	101	0011	SAPK-10111INS4HCMCRO	Sub component S4HCMCRO of S4HCM
S4HCMCRU	101	0011	SAPK-10111INS4HCMCRU	Sub component S4HCMCRU of S4HCM
S4HCMCSA	101	0011	SAPK-10111INS4HCMCSA	Sub component S4HCMCSA of S4HCM
S4HCMCSE	101	0011	SAPK-10111INS4HCMCSE	Sub component S4HCMCSE of S4HCM
S4HCMCSG	101	0011	SAPK-10111INS4HCMCSG	Sub component S4HCMCSG of S4HCM
S4HCMCSI	101	0011	SAPK-10111INS4HCMCSI	Sub component S4HCMCSI of S4HCM
S4HCMCSK	101	0011	SAPK-10111INS4HCMCSK	Sub component S4HCMCSK of S4HCM
S4HCMCTH	101	0011	SAPK-10111INS4HCMCTH	Sub component S4HCMCTH of S4HCM
S4HCMCTR	101	0011	SAPK-10111INS4HCMCTR	Sub component S4HCMCTR of S4HCM
S4HCMCTW	101	0011	SAPK-10111INS4HCMCTW	Sub component S4HCMCTW of S4HCM
S4HCMCUA	101	0011	SAPK-10111INS4HCMCUA	Sub component S4HCMCUA of S4HCM
S4HCMCUN	101	0011	SAPK-10111INS4HCMCUN	Sub component S4HCMCUN of S4HCM
S4HCMCUS	101	0011	SAPK-10111INS4HCMCUS	Sub component S4HCMCUS of S4HCM
S4HCMCVE	101	0011	SAPK-10111INS4HCMCVE	Sub component S4HCMCVE of S4HCM
S4HCMCZA	101	0011	SAPK-10111INS4HCMCZA	Sub component S4HCMCZA of S4HCM
S4HCMGXX	101	0011	SAPK-10111INS4HCMGXX	Sub component S4HCMGXX of S4HCM
S4HCMRXX	101	0011	SAPK-10111INS4HCMRXX	Sub component S4HCMRXX of S4HCM
EA-DFPS	808	0002	SAPK-80802INEADFPS	S/4HANA DFPS
EA-PS	808	0002	SAPK-80802INEAPS	S/4HANA PS
FI-CAX	808	0002	SAPK-80802INFICAX	S/4HANA FI-CA Extended
IS-OIL	808	0002	SAPK-80802INISOIL	S/4HANA IS-OIL
IS-PRA	808	0002	SAPK-80802INISPRA	S/4HANA IS-PRA
IS-PS-CA	808	0002	SAPK-80802INISPSCA	S/4HANA IS-PS-CA
IS-UT	808	0002	SAPK-80802INISUT	S/4HANA IS-UT
S4COREOP	108	0002	SAPK-10802INS4COREOP	S/4HANA Core Applications 2
S4DEPREC	108	0002	SAPK-10802INS4DEPREC	S/4HANA Core Applications 3
GBX01HR5	605	0030	SAPK-60530INGBX01HR5	GBX01HR5 605
S4FPSL	300	0002	SAPK-30002INS4FPSL	SAP S/4HANA Financial Products Subledger
UIAPFI70	902	0002	SAPK-90202INUIAPFI70	UI SFIN
UIFPSL	200	0000	-	UI for Financial Products Subledger 200
UIHR002	100	0026	SAPK-10026INUIHR002	UI for ERP Human Capital Management 100
UIMDG001	200	0013	SAPK-20013INUIMDG001	UI for MDG
UIS4HOP1	900	0002	SAPK-90002INUIS4HOP1	UI for S/4HANA On Premise
UITRV001	300	0010	SAPK-30010INUITRV001	UI for Travel 300: Add-On Installation
EYICIFR	100_75G	0000	-	EY Insurance Industry Cloud - Intelligen
ST-A/PI	01V_731	0003	SAPKITABC6	Servicetools for SAP Basis 731 and highe
WINSHTLQ	85C	0000	-	AutomateFM 24.1
HOME	DEV	0000	-	Customer Development (Standard)
LOCAL	DEV	0000	-	System Local Development (Standard)
